FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
70863,3305,496,291,204,0,133759,5579,368,120,333,379,78,45324
34240,2663,6560,0,193,420,58351,4209,5969,128,272,297,90,45324
149053,46067,322,373,160,85,270214,72969,342,224,247,271,58,45324
166818,9022,0,52,259,0,340563,12137,78,85,212,205,56,45325
24092,2851,130,306,210,326,63171,5311,368,286,201,324,38,45328
14582,1979,467,81,694,446,48227,4358,334,32,439,545,33,45329
65756,1087,7745,781,720,406,160630,2200,7025,364,581,234,52,45329
31766,2463,6629,426,238,2,96615,5469,6542,273,79,98,36,45331
55936,2747,12212,792,217,88,111260,3937,9781,487,290,166,44,45331
3074,1406,96,75,400,162,16229,10573,28,0,355,54,14,45332
12667,25802,754,276,306,0,26598,45441,750,179,138,119,47,45333
3907,1459,155,225,196,255,22784,6284,219,166,0,243,13,45334
31574,1858,3493,418,417,0,85322,4618,3579,365,197,8,28,45335
39702,1964,4834,402,586,256,93542,4484,4730,305,374,420,40,45335
24391,4508,165,134,51,219,74415,10728,336,43,285,355,26,45336
7437,830,239,202,247,94,46266,3322,283,123,51,80,12,45337
42199,5366,1173,389,457,173,101809,10133,884,385,611,424,39,45338
